FIPS,insurance,cancer,UrbanIntense,NoInternet,UNEMP,singleparent,LimEnglish,Housing_T,NDVI,VacantH,asthma,X,Y
20165,15.7,6.6,0,0.245,0.1717,0.0398,0,0.0258,0.402311688,0.23,9.9,-99.30924095,38.52316131
20167,15,6.6,0,0.202,0.6376,0.0478,0.4187,0.1315,0.463129293,0.23,9.7,-98.76235102,38.91477884
20169,16.9,6.4,0.005,0.183,0.2188,0.5234,0.7326,0.4947,0.484895122,0.088,9.7,-97.64993064,38.7838065
20171,18.1,6.5,0.001,0.127,0.2188,0.0544,0.8774,0.4527,0.377919753,0.083,9.4,-100.906859,38.48216936
20173,18.1,6.5,0.024,0.167,0.449,0.7994,0.8039,0.4588,0.527210784,0.101,9.9,-97.46096868,37.68476156
20175,32.9,5.9,0.002,0.21,0.4691,0.9898,0.9952,0.8771,0.47585,0.11,9.7,-100.8512872,37.1933028
20177,15.9,6.3,0.015,0.196,0.3299,0.5412,0.6718,0.7755,0.611936066,0.099,9.9,-95.75653426,39.04151376
20179,15.1,6.6,0,0.208,0.0573,0.5412,0.297,0.0153,0.484843182,0.098,9.6,-100.4418324,39.35035777
20181,17.1,6.5,0,0.134,0.2745,0.7316,0.1477,0.3569,0.413220192,0.152,9.9,-101.7199807,39.35143369
20183,15.2,6.6,0.001,0.199,0.1035,0.1391,0.0707,0.0223,0.515409091,0.249,9.9,-98.78547279,39.78515636
20185,18.1,6.5,0,0.254,0.2924,0.1812,0.7631,0.0605,0.512920238,0.226,9.8,-98.71744502,38.03099854
20187,23.3,6.2,0,0.275,0.0306,0.0853,0.8039,0.1286,0.376161429,0.263,9.5,-101.7841832,37.56306139
20189,24.9,6.3,0,0.238,0.3299,0.3961,0.9682,0.5081,0.47358375,0.176,9.8,-101.312047,37.19231795
20191,15.8,6.5,0.001,0.199,0.2054,0.4518,0.0707,0.2404,0.482503175,0.148,9.9,-97.47655021,37.23727534
20193,14.9,6.6,0,0.092,0.0433,0.1162,0.4187,0.0952,0.4392125,0.076,9.6,-101.0555313,39.3509686
20195,14.1,6.6,0,0.126,0.0331,0.7771,0,0.0796,0.452719192,0.176,9.6,-99.87273584,38.91432491
20197,13.9,6.5,0.001,0.197,0.1369,0.1162,0.1477,0.0427,0.610084524,0.166,9.3,-96.20500454,38.95329129
20199,14.6,6.5,0,0.219,0.0777,0.0207,0.7326,0.0169,0.39020303,0.215,9.3,-101.763574,38.91666114
20201,15.5,6.6,0,0.258,0.1124,0.0478,0.5492,0.0735,0.638611111,0.202,9.7,-97.08754352,39.78420129
20203,19.9,6.3,0,0.202,0.071,0.0777,0.915,0.2872,0.350605556,0.143,9,-101.3473557,38.48208454
20205,17,6.6,0.001,0.329,0.4303,0.7316,0.1477,0.6514,0.596394643,0.186,10.5,-95.7433888,37.55924149
20207,17.8,6.6,0,0.34,0.8729,0.0939,0.3582,0.0471,0.631777778,0.267,10.7,-95.74016771,37.88667021
20209,25.2,6.1,0.082,0.233,0.7895,0.9478,0.9599,0.6686,0.519075,0.118,10.3,-94.76447842,39.11464534
21001,11.6,6.6,0.001,0.303,0.6207,0.1487,0.1477,0.9303,0.524071795,0.183,11.5,-85.28064976,37.10415345
21003,11.6,6.6,0.002,0.299,0.5006,0.7198,0.4642,0.3674,0.359514286,0.186,11.3,-86.19041867,36.75131655
21005,9.4,6.6,0.003,0.178,0.8051,0.5412,0.227,0.0564,0.702845,0.079,10.7,-84.99100457,38.00391341
21007,10.3,6.6,0.001,0.241,0.5006,0.5597,0,0.3556,0.433082759,0.212,10.9,-88.99934113,37.05843193
21009,11.9,6.5,0.003,0.198,0.7583,0.6972,0.227,0.5164,0.676113725,0.136,11.5,-85.93366332,36.96558117
21011,12.2,6.6,0.001,0.252,0.7481,0.7112,0,0.4699,0.5299,0.153,11.6,-83.74266722,38.14497369
