"","LocationName","Data_Value"
"608953","17031804607",8.5
"609004","17031440202",12.2
"609041","17031301803",9.5
"609056","17031390400",12.7
"609097","17031770202",8.9
"609168","17031411200",8.2
"609174","17031730500",11.8
"609204","17031690900",13.1
"609221","17031806501",8.3
"609233","17031570400",8.6
"609309","17031807600",8.1
"609350","17031540101",16
"609424","17031691400",12.4
"609476","17031804109",8.6
"609479","17031280800",12.7
"609487","17031800200",8.1
"609493","17031810600",9.3
"609499","17031460302",13.8
"609542","17031292200",13.8
"609622","17031807100",8.3
"609665","17031804406",9
"609673","17031805301",8.3
"609676","17031671600",13.6
"609689","17031430400",13
"609707","17031804608",8.2
"609759","17031806700",7.8
"609767","17031671100",14.2
"609800","17031510300",13.4
"609814","17031430102",12.5
"609850","17031809800",8.6
"609862","17031802404",8.8
"609868","17031530100",11.6
"609869","17031770300",8.8
"609920","17031805902",8.1
"609941","17031760803",9.6
"609954","17031807300",8.2
"609983","17031510100",9.7
"609999","17031805112",8.6
"610017","17031420300",11
"610094","17031803610",8.4
"610098","17031530502",12.8
"610137","17031410100",9.4
"610140","17031770901",9.1
"610145","17031611900",13.4
"610173","17031802503",8.1
"610178","17031710500",12.6
"610236","17031750200",9.7
"610260","17031570200",9
"610261","17031806102",8.6
"610364","17031808800",8.1
"610382","17031804705",8.4
"610457","17031806600",8.6
"610468","17031310800",8.7
"610490","17031806900",7.9
"610550","17031671800",13.1
"610561","17031650500",9.1
"610565","17031580600",8.9
"610585","17031803400",8.2
"610596","17031260400",15.4
"610640","17031460400",12.4
"610662","17031320600",8.4
"610680","17031803612",9.8
"610699","17031410200",9.1
"610736","17031803800",8.5
"610760","17031301200",10.2
"610784","17031570500",8.8
"610807","17031801902",8.1
"610809","17031804808",8.6
"610822","17031620400",8.4
"610865","17031805802",8.4
"610877","17031430200",13.2
"610915","17031411100",8
"610951","17031500100",11.8
"610969","17031700502",10.9
"610992","17031560900",8.7
"611010","17031806502",8.7
"611020","17031700200",9
"611026","17031691300",11.6
"611068","17031801200",7.8
"611148","17031801100",7.8
"611155","17031808302",7.8
"611176","17031301802",9.6
"611196","17031660600",12.6
"611266","17031280100",7.3
"611284","17031803901",8.6
"611285","17031803010",8.3
"611322","17031611400",10.1
"611398","17031283100",9.3
"611467","17031808301",7.9
"611476","17031801800",7.8
"611512","17031611600",12.2
"611545","17031430900",12.3
"611567","17031807400",9.3
"611596","17031281900",7.4
"611636","17031670700",13.7
"611667","17031806004",8.7
"611679","17031580502",9.1
"611690","17031804807",9
"611721","17031560100",9
"611745","17031610400",10.1
"611761","17031710100",13.9
"611773","17031800500",7.9
"611782","17031480200",11.7
"611810","17031560800",9.1
"611845","17031660500",9.8
"611881","17031800400",8
"611890","17031661000",13.3
"611924","17031804714",8.7
"611942","17031800800",7.9
"611945","17031440102",13.1
"612000","17031804505",9.2
"612111","17031671500",14.5
"612141","17031420600",13.9
"612172","17031390700",9.5
"612184","17031350400",17.2
"612225","17031805111",8.8
"612242","17031809200",11.6
"612247","17031700402",11.3
"612262","17031803902",8.6
"612269","17031420800",13.2
"612295","17031800100",7.9
"612299","17031301701",9.3
"612303","17031804510",9
"612325","17031650301",8.4
"612368","17031690500",13.8
"612459","17031818900",8.4
"612480","17031833100",8.1
"612531","17031831000",7.2
"612556","17031817700",11.6
"612562","17031823304",9.9
"612578","17031841500",14.5
"612588","17031815000",8.6
"612678","17031830001",10.1
"612726","17031839200",10.8
